t,n_grads,f,f_avg,trans_bits,train_accuracy,test_accuracy,comm_rounds,var_error
0.0,3660.0,4.211927128609104,4.211927128609104,0.0,0.3882513661202186,0.4147665580890337,0.0,3.442879937469236
1.0,7320.0,12.52256072040855,16.62126718359889,3712.0,0.3882513661202186,0.4147665580890337,2.0,3.435944152500107
2.0,10980.0,10.302480952975012,24.58865662830116,7424.0,0.3882513661202186,0.4147665580890337,4.0,3.429077185601135
3.0,14640.0,9.485886016033328,32.326659467898814,11136.0,0.3882513661202186,0.4147665580890337,6.0,3.4223510863313766
4.0,18300.0,9.020359188196517,39.83621403767332,14848.0,0.3882513661202186,0.4147665580890337,8.0,3.4157698433663315
5.0,21960.0,8.695463472981752,47.11842069214419,18560.0,0.3882513661202186,0.4147665580890337,10.0,3.4093347266682503
6.0,25620.0,8.441079487225782,54.17453315456519,22272.0,0.3882513661202186,0.4147665580890337,12.0,3.403046512221746
7.0,29280.0,8.22717971709345,61.005982884743126,25984.0,0.3882513661202186,0.4147665580890337,14.0,3.3969059332694354
8.0,32940.0,8.038774189624679,67.61440414925174,29696.0,0.3882513661202186,0.4147665580890337,16.0,3.390913634060705
9.0,36600.0,7.867559316651924,74.00166355048289,33408.0,0.3882513661202186,0.4147665580890337,18.0,3.385070175451963
10.0,40260.0,7.708577732465796,80.16989109883302,37120.0,0.3882513661202186,0.4147665580890337,20.0,3.379375998143683
11.0,43920.0,7.558700189882338,86.12151307857842,40832.0,0.3882513661202186,0.4147665580890337,22.0,3.3738313925949712
12.0,47580.0,7.415866606241557,91.85928547121894,44544.0,0.3882513661202186,0.4147665580890337,24.0,3.3684364581524577
13.0,51240.0,7.278677400541525,97.38632694286072,48256.0,0.3882513661202186,0.4147665580890337,26.0,3.363191059252683
14.0,54900.0,7.146159887209038,102.70614989899234,51968.0,0.3882513661202186,0.4147665580890337,28.0,3.358094776621706
15.0,58560.0,7.017627928549606,107.82268795749586,55680.0,0.3882513661202186,0.4147665580890337,30.0,3.353146856249174
16.0,62220.0,6.892593935413363,112.74031797573177,59392.0,0.3882513661202186,0.4147665580890337,32.0,3.3483461576564713
17.0,65880.0,6.770711550137707,117.46387472895027,63104.0,0.3882513661202186,0.4147665580890337,34.0,3.3436911042910475
18.0,69540.0,6.651736976328937,121.99865641889149,66816.0,0.3882513661202186,0.4147665580890337,36.0,3.3391796389079507
19.0,73200.0,6.535501996661286,126.35041945423737,70528.0,0.3882513661202186,0.4147665580890337,38.0,3.334809187128117
20.0,76860.0,6.421894520632182,130.5253613710499,74240.0,0.3882513661202186,0.4147665580890337,40.0,3.330576632202617
21.0,80520.0,6.3108441122098,134.53009134176168,77952.0,0.41174863387978144,0.43539630836047777,42.0,3.3264783036799472
22.0,84180.0,6.202310903488538,138.371588411734,81664.0,0.41366120218579233,0.43431053203040176,44.0,3.3225099820236537
