t,n_grads,f,f_avg,trans_bits,train_accuracy,test_accuracy,comm_rounds,var_error
49.0,0.0,6.485154475592084,319.65947142649935,37632.0,0.42131147540983604,0.43973941368078173,98.0,3.5115713651870153
50.0,0.0,6.430036755926007,323.3442041661014,38400.0,0.4248633879781421,0.44082519001085774,100.0,3.513794846775437
51.0,0.0,6.375352753876816,326.94177672933387,39168.0,0.42568306010928963,0.44733984799131377,102.0,3.5161182780939675
52.0,0.0,6.321114757009574,330.45415799966185,39936.0,0.4308743169398907,0.46362649294245384,104.0,3.5185376753766135
53.0,0.0,6.267334890138469,333.88334035501583,40704.0,0.4355191256830601,0.46471226927252984,106.0,3.521049990267036
54.0,0.0,6.21402568260026,337.2314333658123,41472.0,0.4418032786885246,0.46796959826275786,108.0,3.5236602629180984
55.0,0.0,6.161199850678641,340.5005502088382,42240.0,0.45437158469945355,0.4820846905537459,110.0,3.526359536952341
56.0,0.0,6.108870321294572,343.6929257761538,43008.0,0.4598360655737705,0.48642779587404994,112.0,3.5291559664771945
57.0,0.0,6.057050722225201,346.8108565575191,43776.0,0.4663934426229508,0.496199782844734,114.0,3.5320404420963993
58.0,0.0,6.00575495087657,349.85671774416295,44544.0,0.48005464480874316,0.510314875135722,116.0,3.535025817165371
59.0,0.0,5.954997156490047,352.8329467216626,45312.0,0.48797814207650275,0.5233441910966341,118.0,3.5381043013411215
60.0,0.0,5.904791299740582,355.74200924720725,46080.0,0.496448087431694,0.5320304017372421,120.0,3.5412763501194715
61.0,0.0,5.855151696315605,358.58649770329663,46848.0,0.5234972677595628,0.5635179153094463,122.0,3.544538932177901
62.0,0.0,5.80609248442281,361.3689703651318,47616.0,0.5346994535519126,0.5689467969598263,124.0,3.547891733678978
63.0,0.0,5.757627515529744,364.09209659161587,48384.0,0.5409836065573771,0.5798045602605864,126.0,3.5513374420676223
64.0,0.0,5.709770863602777,366.75857394953954,49152.0,0.5494535519125683,0.5798045602605864,128.0,3.5548768149156795
65.0,0.0,5.662536280952739,369.3711425743165,49920.0,0.5581967213114755,0.5863192182410424,130.0,3.5585089316819425
66.0,0.0,5.615937008431929,371.9325425386981,50688.0,0.5721311475409836,0.5950054288816504,132.0,3.5622311144490086
67.0,0.0,5.569986137396246,374.44559987239876,51456.0,0.5784153005464481,0.6015200868621065,134.0,3.5660451868345375
68.0,0.0,5.524696694104239,376.91315052577767,52224.0,0.5868852459016394,0.6134636264929425,136.0,3.569950641468889
69.0,0.0,5.480081055343929,379.3380351116845,52992.0,0.598087431693989,0.6210640608034745,138.0,3.5739442180728043
70.0,0.0,5.436151010706947,381.72310638728806,53760.0,0.6057377049180328,0.6254071661237784,140.0,3.5780319739222737
71.0,0.0,5.392918042784173,384.0712556880646,54528.0,0.6092896174863388,0.6221498371335505,142.0,3.5822067930298798
72.0,0.0,5.350393125652946,386.3853544059597,55296.0,0.6150273224043716,0.6362649294245385,144.0,3.586473957086096
73.0,0.0,5.30858659293592,388.6682881626847,56064.0,0.6256830601092896,0.6427795874049945,146.0,3.5908290957994504
