t,n_grads,f,f_avg,trans_bits,train_accuracy,test_accuracy,comm_rounds,var_error
73.0,0.0,5.549240613367991,406.48004187372095,56064.0,0.4707650273224044,0.501628664495114,146.0,3.3930665610346753
74.0,0.0,5.511332903682122,409.1972278712332,56832.0,0.4825136612021858,0.512486427795874,148.0,3.392908690784664
75.0,0.0,5.473728645253181,411.8620689167439,57600.0,0.4937158469945355,0.5200868621064061,150.0,3.392829605287417
76.0,0.0,5.436434405915313,414.47596078238365,58368.0,0.5024590163934426,0.5374592833876222,152.0,3.392831164454749
77.0,0.0,5.399456348605781,417.0403169029067,59136.0,0.510655737704918,0.5374592833876222,154.0,3.3929082494544844
78.0,0.0,5.362800509941628,419.5565626479873,59904.0,0.5163934426229508,0.5483170466883822,156.0,3.393059602712924
79.0,0.0,5.326472890753395,422.02615409104914,60672.0,0.5226775956284153,0.5559174809989142,158.0,3.3932837856669114
80.0,0.0,5.290479694591959,424.45059704366435,61440.0,0.5325136612021858,0.5591748099891423,160.0,3.393588275905031
81.0,0.0,5.254827149826947,426.8314012283011,62208.0,0.5491803278688525,0.5711183496199783,162.0,3.3939650222287514
82.0,0.0,5.219521230935082,429.17008064505234,62976.0,0.5584699453551912,0.5798045602605864,164.0,3.394423615649684
83.0,0.0,5.184567742047876,431.46816453489504,63744.0,0.5663934426229508,0.5765472312703583,166.0,3.394950795292827
84.0,0.0,5.1499726115663425,433.7272342082504,64512.0,0.5737704918032787,0.5874049945711184,168.0,3.3955579372334905
85.0,0.0,5.11574175179422,435.9488635967669,65280.0,0.5942622950819673,0.6134636264929425,170.0,3.396234474235109
86.0,0.0,5.081880889176012,438.1346493415072,66048.0,0.598087431693989,0.6156351791530945,172.0,3.396989489603164
87.0,0.0,5.0483956518034,440.28619407228433,66816.0,0.6046448087431694,0.6156351791530945,174.0,3.397820731442501
88.0,0.0,5.015291454280203,442.40510188103144,67584.0,0.6079234972677595,0.6221498371335505,176.0,3.3987297378478556
89.0,0.0,4.982573570044942,444.4929935869683,68352.0,0.6166666666666667,0.6232356134636265,178.0,3.3997174752881305
90.0,0.0,4.950247137638065,446.55149118788336,69120.0,0.6224043715846994,0.6319218241042345,180.0,3.4007756188088063
91.0,0.0,4.91831713599006,448.5822275623076,69888.0,0.6292349726775956,0.6460369163952225,182.0,3.4019088094887278
92.0,0.0,4.886788403063137,450.58683860130964,70656.0,0.6404371584699453,0.6514657980456026,184.0,3.403119059117062
93.0,0.0,4.855665551570312,452.5669539907684,71424.0,0.65,0.6471226927252985,186.0,3.404406680883285
94.0,0.0,4.824952964565882,454.52420334761734,72192.0,0.6592896174863389,0.6612377850162866,188.0,3.4057647153716784
95.0,0.0,4.79465487805579,456.46022348298277,72960.0,0.6612021857923497,0.6601520086862106,190.0,3.4071980025573385
96.0,0.0,4.7647752956041804,458.37663327301993,73728.0,0.6628415300546449,0.6558089033659066,192.0,3.4087067451203903
97.0,0.0,4.7353179713400415,460.27505316694817,74496.0,0.662568306010929,0.6623235613463626,194.0,3.4102900386157406
98.0,0.0,4.706286463303427,462.1570936405236,75264.0,0.6702185792349726,0.6677524429967426,196.0,3.4119527628711985
99.0,0.0,4.677684106487482,464.0243594439978,76032.0,0.6710382513661202,0.6688382193268186,198.0,3.413686759100422
100.0,0.0,4.649514033265002,465.8784472090026,76800.0,0.6718579234972678,0.6710097719869706,200.0,3.4154956911083647
101.0,0.0,4.62177911490389,467.72093400158315,77568.0,0.6729508196721311,0.6699239956568946,202.0,3.4173750176897078
102.0,0.0,4.594482014676969,469.5533969925185,78336.0,0.680327868852459,0.6710097719869706,204.0,3.4193322429224917
103.0,0.0,4.567625180811104,471.3773902545689,79104.0,0.6816939890710383,0.6818675352877307,206.0,3.4213590167993493
104.0,0.0,4.541210781594277,473.1944523170407,79872.0,0.6775956284153005,0.6764386536373507,208.0,3.4234631052718774
105.0,0.0,4.5152407679331015,475.00610894891054,80640.0,0.6778688524590164,0.6807817589576547,210.0,3.4256373296843106
106.0,0.0,4.489716906999917,476.8138753350719,81408.0,0.6762295081967213,0.6677524429967426,212.0,3.4278870481920487
107.0,0.0,4.464640749469077,478.6192450513106,82176.0,0.6781420765027323,0.6666666666666666,214.0,3.430210800628347
108.0,0.0,4.440013603361996,480.42369327488063,82944.0,0.6773224043715848,0.6688382193268186,216.0,3.432610483679091
109.0,0.0,4.41583652718657,482.2286696517915,83712.0,0.6806010928961749,0.6688382193268186,218.0,3.435077356656845
110.0,0.0,4.392110387137215,484.03561551839596,84480.0,0.6811475409836065,0.6688382193268186,220.0,3.4376244992438596
111.0,0.0,4.368835842968887,485.845941620697,85248.0,0.680327868852459,0.6601520086862106,222.0,3.4402418649598974
112.0,0.0,4.346013336951388,487.6610458564138,86016.0,0.6786885245901639,0.6612377850162866,224.0,3.4429331229331464
113.0,0.0,4.323643129609826,489.48230143540684,86784.0,0.676775956284153,0.6634093376764386,226.0,3.4456952215375174
114.0,0.0,4.3017252500662435,491.3110555796967,87552.0,0.676775956284153,0.6601520086862106,228.0,3.448529759640245
115.0,0.0,4.280259527872495,493.14863583097724,88320.0,0.676775956284153,0.6623235613463626,230.0,3.451435195113858
116.0,0.0,4.259245608478036,494.9963453359271,89088.0,0.674863387978142,0.6655808903365906,232.0,3.454411733397473
117.0,0.0,4.2386829884616475,496.85547396409834,89856.0,0.6715846994535519,0.6655808903365906,234.0,3.4574595513156168
118.0,0.0,4.218571016420994,498.7272859112562,90624.0,0.6688524590163935,0.6623235613463626,236.0,3.460582443728237
119.0,0.0,4.1989088483710235,500.6130200010473,91392.0,0.6658469945355191,0.6612377850162866,238.0,3.4637772849774744
120.0,0.0,4.1796954385560365,502.51388525240145,92160.0,0.6628415300546449,0.6623235613463626,240.0,3.4670441581187816
121.0,0.0,4.160929565562462,504.43106961371427,92928.0,0.6612021857923497,0.6579804560260586,242.0,3.470377009338
122.0,0.0,4.142609882898187,506.36574181344326,93696.0,0.6603825136612022,0.6558089033659066,244.0,3.4737840836349725
123.0,0.0,4.1247349111124825,508.31904632022736,94464.0,0.6603825136612022,0.6547231270358306,246.0,3.4772603934592197
124.0,0.0,4.107303097604398,510.2921218856634,95232.0,0.6603825136612022,0.6547231270358306,248.0,3.4808099845456666
125.0,0.0,4.090312682857287,512.2860488286583,96000.0,0.659016393442623,0.6547231270358306,250.0,3.484428856374089
126.0,0.0,4.073761747452815,514.3019115294512,96768.0,0.6568306010928961,0.6547231270358306,252.0,3.4881168759622296
127.0,0.0,4.057648312649489,516.340759883519,97536.0,0.6576502732240437,0.6503800217155266,254.0,3.4918728804843506
128.0,0.0,4.041970259162704,518.4036264621332,98304.0,0.6551912568306011,0.6438653637350705,256.0,3.4956995229702894
129.0,0.0,4.026725371202916,520.4915193082193,99072.0,0.6549180327868852,0.6438653637350705,258.0,3.499598981748811
130.0,0.0,4.011911369053926,522.6054366458013,99840.0,0.6546448087431694,0.6438653637350705,260.0,3.503566596138363
131.0,0.0,3.9975257730836864,524.7463159021245,100608.0,0.6543715846994536,0.6482084690553745,262.0,3.507603004963424
132.0,0.0,3.983566021897447,526.9151138788015,101376.0,0.6513661202185792,0.6460369163952225,264.0,3.511707446687668
133.0,0.0,3.9700295694053658,529.1127515830258,102144.0,0.6502732240437158,0.6438653637350705,266.0,3.5158823263186236
134.0,0.0,3.9569138330005296,531.3401556611161,102912.0,0.65,0.6416938110749185,268.0,3.5201286471385624
135.0,0.0,3.9442161697270177,533.5982101651787,103680.0,0.6486338797814207,0.6406080347448425,270.0,3.5244337878924608
136.0,0.0,3.9319337332016433,535.8877652656683,104448.0,0.6491803278688525,0.6406080347448425,272.0,3.5288049403028907
137.0,0.0,3.9200636564588036,538.2096766040438,105216.0,0.6565573770491804,0.6449511400651465,274.0,3.533243792014028
138.0,0.0,3.908603029407089,540.5647595123128,105984.0,0.6568306010928961,0.6471226927252985,276.0,3.5377516318573163
139.0,0.0,3.897548719141827,542.9537844091151,106752.0,0.6565573770491804,0.6416938110749185,278.0,3.5423263176263458
